date,CO2
2023-02-27 13:10:00+00:00,413.4416667
2023-02-27 13:12:00+00:00,413.5833333
2023-02-27 13:14:00+00:00,412.775
2023-02-27 13:16:00+00:00,413.5833333
2023-02-27 13:18:00+00:00,412.95
2023-02-27 13:20:00+00:00,413.25
2023-02-27 13:22:00+00:00,412.6166667
2023-02-27 13:24:00+00:00,412.6333333
2023-02-27 13:26:00+00:00,414.775
2023-02-27 13:28:00+00:00,413.6166667
2023-02-27 13:30:00+00:00,413.2666667
2023-02-27 13:32:00+00:00,413.4083333
2023-02-27 13:34:00+00:00,411.65
2023-02-27 13:36:00+00:00,411.3
2023-02-27 13:38:00+00:00,412.1083333
2023-02-27 13:40:00+00:00,413.425
2023-02-27 13:42:00+00:00,412.6
2023-02-27 13:44:00+00:00,413.425
2023-02-27 13:46:00+00:00,414.7916667
2023-02-27 13:48:00+00:00,415.3
2023-02-27 13:50:00+00:00,414.775
2023-02-27 13:52:00+00:00,415.3
2023-02-27 13:54:00+00:00,414.95
2023-02-27 13:56:00+00:00,415.3
2023-02-27 13:58:00+00:00,414.1083333
2023-02-27 14:00:00+00:00,412.6
2023-02-27 14:02:00+00:00,410.6166667
2023-02-27 14:04:00+00:00,409.4416667
2023-02-27 14:06:00+00:00,409.3
2023-02-27 14:08:00+00:00,411.65
2023-02-27 14:10:00+00:00,410.95
2023-02-27 14:12:00+00:00,411.3333333
2023-02-27 14:14:00+00:00,410.9666667
2023-02-27 14:16:00+00:00,411.3
2023-02-27 14:18:00+00:00,411.65
2023-02-27 14:20:00+00:00,410.95
2023-02-27 14:22:00+00:00,411.3
2023-02-27 14:24:00+00:00,411.3
2023-02-27 14:26:00+00:00,411.3
2023-02-27 14:28:00+00:00,411.1416667
2023-02-27 14:30:00+00:00,409.9333333
2023-02-27 14:32:00+00:00,411.475
2023-02-27 14:34:00+00:00,410.7916667
2023-02-27 14:36:00+00:00,411.3
2023-02-27 14:38:00+00:00,410.95
2023-02-27 14:40:00+00:00,410.95
2023-02-27 14:42:00+00:00,410.6333333
2023-02-27 14:44:00+00:00,411.475
2023-02-27 14:46:00+00:00,411.125
2023-02-27 14:48:00+00:00,411.3
2023-02-27 14:50:00+00:00,409.6
2023-02-27 14:52:00+00:00,408.95
2023-02-27 14:54:00+00:00,408.6333333
2023-02-27 14:56:00+00:00,409.6166667
2023-02-27 14:58:00+00:00,408.95
2023-02-27 15:00:00+00:00,411.3
2023-02-27 15:02:00+00:00,411.825
2023-02-27 15:04:00+00:00,411.1416667
2023-02-27 15:06:00+00:00,410.9833333
2023-02-27 15:08:00+00:00,410.7916667
2023-02-27 15:10:00+00:00,408.95
2023-02-27 15:12:00+00:00,411.3333333
2023-02-27 15:14:00+00:00,410.6
2023-02-27 15:16:00+00:00,411.1416667
2023-02-27 15:18:00+00:00,411.65
2023-02-27 15:20:00+00:00,410.9666667
2023-02-27 15:22:00+00:00,411.475
2023-02-27 15:24:00+00:00,410.6
2023-02-27 15:26:00+00:00,411.3
2023-02-27 15:28:00+00:00,410.2833333
2023-02-27 15:30:00+00:00,411.3
2023-02-27 15:32:00+00:00,410.7916667
2023-02-27 15:34:00+00:00,411.1416667
2023-02-27 15:36:00+00:00,408.25
2023-02-27 15:38:00+00:00,408.95
2023-02-27 15:40:00+00:00,408.7916667
2023-02-27 15:42:00+00:00,409.2666667
2023-02-27 15:44:00+00:00,409.1083333
2023-02-27 15:46:00+00:00,410.8083333
2023-02-27 15:48:00+00:00,409.2666667
2023-02-27 15:50:00+00:00,411.1083333
2023-02-27 15:52:00+00:00,411.6666667
2023-02-27 15:54:00+00:00,410.6
2023-02-27 15:56:00+00:00,410.6333333
2023-02-27 15:58:00+00:00,411.475
2023-02-27 16:00:00+00:00,411.3
2023-02-27 16:02:00+00:00,410.3
2023-02-27 16:04:00+00:00,409.6
2023-02-27 16:06:00+00:00,409.9333333
2023-02-27 16:08:00+00:00,411.3166667
2023-02-27 16:10:00+00:00,411.2833333
2023-02-27 16:12:00+00:00,413.2666667
2023-02-27 16:14:00+00:00,413.5833333
2023-02-27 16:16:00+00:00,413.1166667
2023-02-27 16:18:00+00:00,413.9
2023-02-27 16:20:00+00:00,413.1083333
2023-02-27 16:22:00+00:00,412.95
2023-02-27 16:24:00+00:00,412.95
2023-02-27 16:26:00+00:00,412.6333333
2023-02-27 16:28:00+00:00,412.95
2023-02-27 16:30:00+00:00,413.9
2023-02-27 16:32:00+00:00,412.7916667
2023-02-27 16:34:00+00:00,413.1083333
2023-02-27 16:36:00+00:00,413.2666667
2023-02-27 16:38:00+00:00,412.1083333
2023-02-27 16:40:00+00:00,411.3
2023-02-27 16:42:00+00:00,410.95
2023-02-27 16:44:00+00:00,410.95
2023-02-27 16:46:00+00:00,411.125
2023-02-27 16:48:00+00:00,410.6
2023-02-27 16:50:00+00:00,412.3166667
2023-02-27 16:52:00+00:00,411.65
2023-02-27 16:54:00+00:00,410.95
2023-02-27 16:56:00+00:00,410.6
2023-02-27 16:58:00+00:00,410.4416667
2023-02-27 17:00:00+00:00,411.65
2023-02-27 17:02:00+00:00,410.6
2023-02-27 17:04:00+00:00,411.1416667
2023-02-27 17:06:00+00:00,409.2666667
2023-02-27 17:08:00+00:00,410.25
2023-02-27 17:10:00+00:00,409.425
2023-02-27 17:12:00+00:00,408.95
2023-02-27 17:14:00+00:00,411.475
2023-02-27 17:16:00+00:00,409.2666667
2023-02-27 17:18:00+00:00,408.9166667
2023-02-27 17:20:00+00:00,408.95
2023-02-27 17:22:00+00:00,409.425
2023-02-27 17:24:00+00:00,410.6
2023-02-27 17:26:00+00:00,412
